Rainfall (mm),Temperature (°C),Humidity (%),River Discharge (m³/s),Water Level (m),Elevation (m),Population Density,Historical Floods,Flood Occurred,zone_id,zone_name,lat,lon,district,fatalities,no_of_camps,actual_rainfall_in_mm,normal_rainfall_in_mm,no_of_landslides,full_damaged_houses,risk_score
179.02007420201474,32.80375908305144,60.31237025015921,2634.9121316810683,5.04223355565848,4471.36251078802,4612.285231505691,0.4,0.4,1.0,Periyar Lake,9.530984,77.18964,Idukki,54,363,1478.9,527.3,143,1166,0.3756
176.29557335913188,33.10610081398174,60.65397256961952,2655.9261029465147,5.1593877140045885,4647.635171929037,5015.310203168209,0.4,0.35,2.0,Periyar-Vandiperiyar,9.572483,77.089653,Idukki,54,363,1478.9,527.3,143,1166,0.3705
158.50311673740504,33.422385846808766,58.23691349036688,2718.855050333113,4.755311908041109,4048.099005407394,5546.121252348247,0.35,0.3,3.0,Elappara,9.635681,76.97889,Idukki,54,363,1478.9,527.3,143,1166,0.3376
163.58366567455602,32.813563518647,57.57390855523509,2466.045114359148,4.819115535463876,4327.362972192115,5505.601453047694,0.45,0.25,4.0,Ayyappancoil,9.693551,77.047297,Idukki,54,363,1478.9,527.3,143,1166,0.3008
148.9521033895677,33.336989337436705,63.30791331045947,2495.150027839495,5.417636195661824,4285.178421005707,6040.134008822839,0.3,0.3,5.0,Idukki Reservoir,9.843056,76.976389,Idukki,54,363,1478.9,527.3,143,1166,0.3424
139.85676992713323,33.682020071845315,53.98764302605437,2613.199720727268,5.727455493927911,4320.834075959799,5648.181618800677,0.3,0.4,6.0,Neriamangalam,10.0519,76.7828,Ernakulam,58,1582,648.3,401.3,0,615,0.4095
152.61079051296838,32.946205909861945,56.95160056217373,2671.812265557377,5.2320665368128845,3842.456288485316,4986.218593560776,0.25,0.5,7.0,Aluva,10.10122,76.357124,Ernakulam,58,1582,648.3,401.3,0,615,0.4381
149.2869914178613,33.75876745165123,56.38820550775803,2722.2074031874354,5.099283736581434,4065.939584323421,4691.24971495919,0.3,0.5,8.0,Udhyogamandal,10.074038,76.301088,Ernakulam,58,1582,648.3,401.3,0,615,0.4617
157.66245069163327,32.78169017630524,56.54846060955778,2663.2786049682936,4.846718607543163,4032.2149371213977,4513.328566567399,0.35,0.55,9.0,Varapuzha,10.076317,76.271982,Ernakulam,58,1582,648.3,401.3,0,615,0.4774
157.66245069163324,32.78169017630524,56.54846060955778,2663.2786049682936,4.846718607543162,4032.2149371213977,4513.328566567398,0.35,0.55,10.0,Vembanad Lake,10.05,76.25,Ernakulam,58,1582,648.3,401.3,0,615,0.4929
151.6609385100914,30.264646546134067,56.39552578813774,2926.0669996660004,5.244574300313015,3946.13120302565,4822.62804954318,0.4,0.5,11.0,Munambam,10.17669,76.17169,Ernakulam,58,1582,648.3,401.3,0,615,0.4806
